,month,category,sales
0,2015-01-31,Electronics,5890
1,2015-01-31,Power Tools,3242
2,2015-01-31,Clothing,6961
3,2015-02-28,Electronics,3969
4,2015-02-28,Power Tools,4866
5,2015-02-28,Clothing,2578
6,2015-03-31,Electronics,1281
7,2015-03-31,Power Tools,1289
8,2015-03-31,Clothing,9131
9,2015-04-30,Electronics,7725
10,2015-04-30,Power Tools,1407
11,2015-04-30,Clothing,618
12,2015-05-31,Electronics,4409
13,2015-05-31,Power Tools,8171
14,2015-05-31,Clothing,4796
15,2015-06-30,Electronics,4180
16,2015-06-30,Power Tools,9492
17,2015-06-30,Clothing,8052
18,2015-07-31,Electronics,6253
19,2015-07-31,Power Tools,3267
20,2015-07-31,Clothing,7989
21,2015-08-31,Power Tools,5534
22,2015-09-30,Electronics,7086
23,2015-09-30,Power Tools,2996
24,2015-09-30,Clothing,31
25,2015-10-31,Electronics,8298
26,2015-10-31,Power Tools,2909
27,2015-10-31,Clothing,7896
28,2015-11-30,Electronics,494
29,2015-11-30,Power Tools,4243
30,2015-11-30,Clothing,7016
31,2015-12-31,Electronics,3938
32,2015-12-31,Power Tools,3769
33,2015-12-31,Clothing,7969
34,2016-01-31,Electronics,7852
35,2016-01-31,Power Tools,8882
36,2016-01-31,Clothing,8627
37,2016-02-29,Electronics,6290
38,2016-02-29,Power Tools,8769
39,2016-02-29,Clothing,4194
40,2016-03-31,Electronics,2966
41,2016-03-31,Power Tools,2012
42,2016-03-31,Clothing,2059
43,2016-04-30,Electronics,9039
44,2016-04-30,Power Tools,6807
45,2016-04-30,Clothing,471
46,2016-05-31,Electronics,1450
47,2016-05-31,Power Tools,314
48,2016-05-31,Clothing,5410
49,2016-06-30,Electronics,3515
50,2016-06-30,Power Tools,2858
51,2016-06-30,Clothing,8663
52,2016-07-31,Electronics,8497
53,2016-07-31,Power Tools,6382
54,2016-07-31,Clothing,9817
55,2016-08-31,Electronics,349
56,2016-08-31,Power Tools,9039
57,2016-08-31,Clothing,6969
58,2016-09-30,Electronics,9324
59,2016-09-30,Power Tools,2119
60,2016-09-30,Clothing,-735
61,2016-10-31,Electronics,919
62,2016-10-31,Power Tools,5095
63,2016-10-31,Clothing,4448
64,2016-11-30,Electronics,18
65,2016-11-30,Power Tools,1397
66,2016-11-30,Clothing,-259
