Číslo závady,EC_SVE,EČ objektu,Katastr,Ulice,Sektor závady,Rok závady,Datum nahlášení závady,Typ závady,Plánovaný termín opravy,Stav opravy,Způsob opravy,Datum opravy
1,S-1148-011,Z-500,Řečkovice,TEREZY NOVÁKOVÉ,Brno - západ,2 016,1.1.2016,Z vypadený jistící prvek,8.1.2016,Definitivní,vypadený jistící prvek,4.1.2016
2,S-1148-012,,Řečkovice,TEREZY NOVÁKOVÉ,Brno - západ,2 016,1.1.2016,S svítidlo-nesvítí,8.1.2016,Definitivní,neopraveno,4.1.2016
3,S-1456-012,,Zábrdovice,ŠPITÁLKA,Brno - východ,2 016,2.1.2016,S svítidlo-bliká,9.1.2016,Definitivní,S výměna světelného zdroje,4.1.2016
4,S-1256-217,,Komín,VESLAŘSKÁ,Brno - západ,2 016,2.1.2016,S svítidlo-nesvítí,9.1.2016,Definitivní,S výměna světelného zdroje,4.1.2016
5,S-0478-003,Z-612,Staré Brno,KOPEČNÁ,Brno - východ,2 016,2.1.2016,Z vypadený jistící prvek,9.1.2016,Definitivní,vypadený jistící prvek,4.1.2016
6,S-0703-001,R-0703-002,Starý Lískovec,MÁCHALOVA,Brno - západ,2 016,2.1.2016,S svítidlo-nesvítí,9.1.2016,Definitivní,S výměna světelného zdroje,4.1.2016
7,S-1257-019,Z-547,Veveří,VEVEŘÍ,Brno - východ,2 016,2.1.2016,SO nekomunikuje čip,9.1.2016,Definitivní,při kontrole vše v pořádku,3.1.2016
8,S-0687-129,,Město Brno,MORAVSKÉ NÁMĚSTÍ,Brno - východ,2 016,2.1.2016,S svítidlo-nesvítí,9.1.2016,Definitivní,S výměna světelného zdroje,4.1.2016
9,S-1202-005,Z-518,Bosonohy,U SMYČKY,Brno - západ,2 016,2.1.2016,Z vypadený jistící prvek,9.1.2016,Definitivní,vypadený jistící prvek,2.1.2016
10,S-0305-013,,Bosonohy,HOŠTICKÁ,Brno - západ,2 016,2.1.2016,S stožár-poškozen,9.1.2016,Definitivní,není v majetku TsB,2.1.2016
11,S-0942-016,Z-425,Ivanovice,PŘÍJEZDOVÁ,Brno - západ,2 016,2.1.2016,Z vybitá PLC baterie,9.1.2016,Definitivní,Z výměna baterie,4.1.2016
12,S-1485-038,Z-531,Stránice,ÚVOZ,Brno - východ,2 016,3.1.2016,SO nekomunikuje čip,10.1.2016,Definitivní,jiná závada,4.1.2016
13,S-1179-133,Z-627,Slatina,TUŘANKA,Brno - východ,2 016,3.1.2016,Z vybitá PLC baterie,10.1.2016,Definitivní,Z výměna baterie,4.1.2016
14,S-1269-049,,Slatina,VLNITÁ,Brno - východ,2 016,3.1.2016,S svítidlo-bliká,10.1.2016,Definitivní,S výměna světelného zdroje,4.1.2016
15,S-0375-191,Z-186,Nový Lískovec,JIHLAVSKÁ,Brno - západ,2 016,3.1.2016,"Z vypnuta regulace, viz.poznámka",10.1.2016,Definitivní,jiná závada,4.1.2016
16,S-1360-009,,Maloměřice,ZIMNÍ,Brno - východ,2 016,3.1.2016,S svítidlo-bliká,10.1.2016,Definitivní,S výměna světelného zdroje,4.1.2016
17,S-1360-008,,Maloměřice,ZIMNÍ,Brno - východ,2 016,3.1.2016,S svítidlo-bliká,10.1.2016,Definitivní,S výměna světelného zdroje,4.1.2016
18,S-1204-034,,Kohoutovice,U VELKÉ CENY,Brno - západ,2 016,3.1.2016,S svítidlo-bliká,10.1.2016,Definitivní,S výměna světelného zdroje,4.1.2016
19,S-0652-077,,Staré Brno,MENDLOVO NÁMĚSTÍ,Brno - východ,2 016,3.1.2016,S svítidlo-nesvítí,10.1.2016,Definitivní,S výměna světelného zdroje,4.1.2016
20,S-0455-038,Z-619,Královo Pole,KOCIÁNKA,Brno - východ,2 016,4.1.2016,Z vypadený jistící prvek,11.1.2016,Definitivní,vypadený jistící prvek,4.1.2016
21,S-0527-003,Z-236,Žabovřesky,KRÁLOVA,Brno - západ,2 016,4.1.2016,Z vybitá PLC baterie,11.1.2016,Definitivní,Z výměna baterie,4.1.2016
22,S-0808-035,Z-357,Židenice,OTAKARA ŠEVČÍKA,Brno - východ,2 016,4.1.2016,viz. poznámka,11.1.2016,Definitivní,jiná závada,4.1.2016
23,S-0526-036,Z-035,Starý Lískovec,KRYMSKÁ,Brno - západ,2 016,4.1.2016,viz. poznámka,11.1.2016,Definitivní,při kontrole vše v pořádku,5.1.2016
24,S-1354-003,,Žabovřesky,ZEMKOVA,Brno - západ,2 016,4.1.2016,S svítidlo-nesvítí,11.1.2016,Definitivní,vypadený jistící prvek,5.1.2016
