tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0100275	movie	The Wandering Soap Opera	La Telenovela Errante	0	2017		80.0	Comedy,Drama,Fantasy
tt0112502	movie	Bigfoot	Bigfoot	0	2017			Horror,Thriller
tt0137204	movie	Joe Finds Grace	Joe Finds Grace	0	2017		83.0	Adventure,Animation,Comedy
tt0326716	movie	5-25-77	'77	0	2017		113.0	Comedy,Drama
tt0331314	movie	Bunyan and Babe	Bunyan and Babe	0	2017		84.0	Adventure,Animation,Comedy
tt0339736	movie	The Evil Within	The Evil Within	0	2017		98.0	Horror
tt0368133	movie	The Promise of Perfume	The Promise of Perfume	0	2017		57.0	Documentary
tt0451201	movie	Clawed	Sludge	0	2017		95.0	Horror
tt0451279	movie	Wonder Woman	Wonder Woman	0	2017		141.0	Action,Adventure,Fantasy
tt0460890	movie	The Only Living Boy in New York	The Only Living Boy in New York	0	2017		89.0	Drama
tt0491175	movie	Suburbicon	Suburbicon	0	2017		105.0	Comedy,Crime,Drama
tt0491203	movie	Tulip Fever	Tulip Fever	0	2017		105.0	Drama,History,Romance
tt0493405	movie	CHIPS	CHIPS	0	2017		100.0	Action,Comedy,Crime
tt0498381	movie	Rings	Rings	0	2017		102.0	Drama,Horror,Mystery
tt0835802	movie	Krystal	Krystal	0	2017		90.0	Comedy,Drama
tt0874268	movie	The Dot Man	The Dot Man	0	2017			Drama,Thriller
tt0937225	movie	Joe Dick	Joe Dick	0	2017		96.0	Comedy
tt0974015	movie	Justice League	Justice League	0	2017		120.0	Action,Adventure,Fantasy
tt10001940	movie	Chalu Dya Tumcha	Chalu Dya Tumcha	0	2017		125.0	
tt10004118	movie	The Truth: Lost at Sea	The Truth: Lost at Sea	0	2017		57.0	Documentary
tt10010820	movie	Green Brothers	Green Brothers	0	2017			Action,Thriller
tt10011164	movie	Chhand Priticha	Chhand Priticha	0	2017		134.0	
tt10011206	movie	Dhingana	Dhingana	0	2017			Comedy
tt10011238	movie	Happy Birthday	Happy Birthday	0	2017			
tt10012854	movie	P.O.W. Open Air am Meer	P.O.W. Open Air am Meer	0	2017			Sport
tt10013288	movie	The Promise	The Promise	0	2017			Drama
tt10017460	movie	Egise Taara Juvvalu	Egise Taara Juvvalu	0	2017			Drama
tt10017546	movie	Ila Ayithe Ela	Ila Ayithe Ela	0	2017			Drama
tt10022058	movie	Pietro Valdoni. L'uomo, il chirurgo, l'innovatore	Pietro Valdoni. L'uomo, il chirurgo, l'innovatore	0	2017		66.0	Documentary
tt10025790	movie	Machiwarla Budha	Machiwarla Budha	0	2017		114.0	Drama
tt10025972	movie	Maza Algar	Maza Algar	0	2017			
tt10028030	movie	Nagarsevak - Ek Nayak	Nagarsevak - Ek Nayak	0	2017		120.0	Action
tt10028240	movie	Kyodai	Kyodai	0	2017		77.0	Horror
tt10033760	movie	Pahil Paul Jivanch	Pahil Paul Jivanch	0	2017		122.0	Drama
tt10033822	movie	Premay Namaha	Premay Namaha	0	2017		144.0	Romance
tt10033852	movie	Rangeela Raybaa	Rangeela Raybaa	0	2017		143.0	Romance
tt10033904	movie	Spandan What is Relationship	Spandan What is Relationship	0	2017		142.0	Romance
tt10034136	movie	Tatva	Tatva	0	2017		106.0	Drama
tt10034168	movie	Ubuntu	Ubuntu	0	2017		114.0	Drama
tt10035068	movie	Dr. MM. Kalburgi Documentary	Dr. MM. Kalburgi Documentary	0	2017			Documentary
tt10036406	movie	Mbretëria	Mbretëria	0	2017		82.0	Drama
tt10038002	movie	Wakya	Wakya	0	2017			
tt10038066	movie	Biscuit	Biscuit	0	2017		124.0	
tt10038086	movie	Bumper Lottery	Bumper Lottery	0	2017		118.0	
tt10038738	movie	Shao nv tian shi	Shao nv tian shi	0	2017		63.0	Comedy,Romance
tt10042678	movie	Barcley	Barcley	0	2017			Drama
tt10045134	movie	Inside the Walls	Inside the Walls	0	2017			Drama,Horror,Mystery
tt10045828	movie	Parallel Road	Parallel Road	0	2017		58.0	Documentary
tt10047216	movie	Creepin	Creepin	0	2017			Music
tt10048408	movie	La ola de crímenes	La ola de crímenes	0	2017		70.0	Drama
tt10048976	movie	When Rumi meets Francis	When Rumi meets Francis	0	2017		51.0	Drama
tt10054624	movie	The Art of Directing: John Huston	The Art of Directing: John Huston	0	2017		75.0	Biography,Documentary
tt10054906	movie	Ropani	Ropani	0	2017		27.0	Documentary,Musical
tt10056504	movie	Walking Out	Walking Out	0	2017		118.0	Adventure,Drama,Mystery
tt10057838	movie	;	;	0	2017			
tt10062546	movie	Dreux, la vie d'après	Dreux, la vie d'après	0	2017			Documentary
tt10062606	movie	Les Set Caixes	Les Set Caixes	0	2017		55.0	Documentary
tt10067502	movie	Totally Crazy	Totally Crazy	0	2017		90.0	Musical
tt10071942	movie	Kaun Mera Kaun Tera	Kaun Mera Kaun Tera	0	2017			Comedy
tt10072948	movie	Zhili-byli my	Zhili-byli my	0	2017		97.0	Family
tt10074520	movie	Visszahúz a múlt - Ember Judit portréja	Visszahúz a múlt - Ember Judit portréja	0	2017		60.0	Biography,Documentary
tt10076184	movie	3 Is A Crowd	3 Is A Crowd	0	2017			Drama
tt10077598	movie	The Girl From Future	The Girl From Future	0	2017		98.0	Comedy,Drama,Fantasy
tt10077616	movie	Mon Hanoi	Mon Hanoi	0	2017		52.0	Documentary
tt10078522	movie	Hành Trình Bât Tân	Hành Trình Bât Tân	0	2017		50.0	Documentary
tt10078676	movie	49 Days 2	49 Ngày 2	0	2017		95.0	Comedy,Drama,Romance
tt10079798	movie	Bingo	Bingo	0	2017		83.0	Drama
tt10081592	movie	Vietnam's Subsidy Period	Viêt Nam Thoi Bao Câp	0	2017		93.0	Documentary
tt10089372	movie	Isola dei sogni	Isola dei sogni	0	2017		48.0	Documentary
tt10090580	movie	Flirty-zel	Flirty-zel	0	2017			Adult,Romance
tt10090742	movie	The Neighborhood Roadshow	The Neighborhood Roadshow	0	2017			Comedy
tt10096300	movie	Der Konzertdealer	Der Konzertdealer	0	2017		86.0	Documentary
tt10097970	movie	Female Hostel	Female Hostel	0	2017			Adult,Romance
tt10101954	movie	Taaoras Lied	Taaoras Lied	0	2017		64.0	
tt10101974	movie	One on One	One on One	1	2017			Adult,Drama,Romance
tt10102164	movie	To Her	To Her	1	2017			Adult,Romance
tt10102182	movie	Tutor - Secret Lesson on Tasty Sex	Tutor - Secret Lesson on Tasty Sex	0	2017			Romance
tt10102250	movie	Ti Dete To Deto Te Detat Saglech Detat Shivya	Ti Dete To Deto Te Detat Saglech Detat Shivya	0	2017		197.0	Comedy
tt10102296	movie	Undga	Undga	0	2017		123.0	Drama
tt10102322	movie	Vishwavidhata Shripad Shrivallabh	Vishwavidhata Shripad Shrivallabh	0	2017		133.0	
tt10102356	movie	Zari	Zari	0	2017		144.0	
tt10105306	movie	I Remember the Fall of Singapore	I Remember the Fall of Singapore	0	2017		47.0	Documentary
tt10106144	movie	The War of Godzilla 2	The War of Godzilla 2	0	2017		99.0	Action,Comedy,Family
tt10106368	movie	Sem Raiz	Sem Raiz	0	2017		80.0	Drama
tt10106712	movie	L'Or Vert	L'Or Vert	0	2017			Documentary
tt10106822	movie	Bhetali Tu Punha	Bhetali Tu Punha	0	2017		146.0	Romance
tt10108068	movie	Le Vent dans les roseaux	Le Vent dans les roseaux	0	2017		62.0	Family
tt10108286	movie	Blestyashchey zhizni lepestok	Blestyashchey zhizni lepestok	0	2017		90.0	Drama
tt10110856	movie	Palmyre (Partie II), arrangement vidéo	Palmyre (Partie II), arrangement vidéo	0	2017			
tt10111436	movie	College Cafe	College Cafe	0	2017		145.0	
tt10112148	movie	Hockeymeisjes	Hockeymeisjes	0	2017			Documentary
tt10112332	movie	Il tempo delle api	Il tempo delle api	0	2017		65.0	Documentary
tt10114442	movie	Olkas II: Sailing from and to Byzantium	Olkas II: Taxidevontas apo kai pros to Vyzantio	0	2017		59.0	Documentary
tt10115300	movie	Ruza	Ruza	0	2017		57.0	Drama
tt10115314	movie	The Ashes of Bethlehem	The Ashes of Bethlehem	0	2017			Horror
tt10116566	movie	El volcán adorado	El volcán adorado	0	2017		62.0	Documentary
tt10117046	movie	Zygote	Zygote	0	2017		60.0	Comedy,Drama
tt10117520	movie	Gopya	Gopya	0	2017		125.0	
tt10118270	movie	Haroldo Serra - Um Homem Chamado Teatro	Haroldo Serra - Um Homem Chamado Teatro	0	2017			Biography,Documentary
tt10119846	movie	Feast of horror and juju 2	Feast of horror and juju 2	0	2017			Horror
tt10120604	movie	Presidents, Politics, and Prophecy	Presidents, Politics, and Prophecy	0	2017		77.0	Documentary
tt10121852	movie	Huntash	Huntash	0	2017		140.0	Drama
tt10125678	movie	Para Gostar de Ler	Para Gostar de Ler	0	2017			Documentary
tt10126496	movie	Northland	Northland	0	2017		57.0	Thriller
tt10129362	movie	Sombra Branca	Sombra Branca	0	2017		93.0	Biography,Documentary
tt10133528	movie	Khayyum Bhai	Khayyum Bhai	0	2017		124.0	Action,Drama
tt10135154	movie	IJK - Dancing Shadows	IJK - Dancing Shadows	0	2017			Music
tt10140912	movie	A Stolen Life	Chuzhaya zhizn	0	2017		80.0	Drama,Thriller
tt10146194	movie	In The Name of Peace: John Hume in America	In The Name of Peace: John Hume in America	0	2017		90.0	Documentary
tt10147214	movie	Danza de Luna	Danza de Luna	0	2017		93.0	Drama
tt10147270	movie	Hello Miss Vampire 2	Ni hao, xi xue gui xiao jie	0	2017		65.0	Fantasy
tt10147284	movie	Daddy, Be with Me	Keng die you xi	0	2017		95.0	Comedy
tt10147878	movie	Gaston Martens en zijn Paradijsvogels	Gaston Martens en zijn Paradijsvogels	0	2017		47.0	Documentary
tt10151164	movie	Rumpelstiltskin: Live	Rumpelstiltskin: Live	0	2017			Musical
tt10153630	movie	Talking Money	Talking Money	0	2017		85.0	Documentary
tt10156578	movie	Pororo, Dinosaur Island Adventure	Pororo, Dinosaur Island Adventure	0	2017		79.0	Adventure,Animation,Fantasy
tt10159530	movie	Discos Perdidos	Discos Perdidos	0	2017		58.0	Documentary,Music
tt10159734	movie	Freedom Tracks (Sans Attache)	Freedom Tracks (Sans Attache)	0	2017		72.0	Documentary
tt10160134	movie	Amadeo de Souza Cardoso - O Último Segredo da Arte Moderna	Amadeo de Souza Cardoso - O Último Segredo da Arte Moderna	0	2017		53.0	Biography,Documentary
tt10160716	movie	Mobile Phone Control	Mobile Phone Control	0	2017		88.0	Drama
tt10161888	movie	Khopa	Khopa	0	2017		124.0	Drama
tt10163206	movie	Marathon Zindagi	Marathon Zindagi	0	2017		137.0	Drama
tt10163342	movie	Brobyggerne	Brobyggerne	0	2017		45.0	Documentary
tt10163360	movie	Seven Days in Summer: Countdown to Partition	Seven Days in Summer: Countdown to Partition	0	2017			Documentary
tt10167826	movie	A Mother's Story	A Mother's Story	0	2017			Drama
tt10168326	movie	Un (pequeño) Paseo por Japón	Un (pequeño) Paseo por Japón	0	2017		61.0	Documentary
tt10168742	movie	Ulta Seedha	Ulta Seedha	0	2017			Comedy
tt10168772	movie	Golmaal Kids	Golmaal Kids	0	2017			Comedy
tt10169754	movie	E Ee	E Ee	0	2017		148.0	Drama,Romance
tt10173750	movie	Pramanik - Ek Satya Katha	Pramanik - Ek Satya Katha	0	2017		134.0	
tt10174300	movie	Shyamchi Shala	Shyamchi Shala	0	2017		192.0	Drama
tt10178180	movie	The Silence	The Silence	0	2017		91.0	Drama
tt10178234	movie	Rajsadan	Rajsadan	0	2017		111.0	Thriller
tt10178356	movie	Vajra	Vajra	0	2017			Action
tt10178422	movie	Negeri Dongeng	Negeri Dongeng	0	2017			Documentary
tt10182846	movie	The Ol' Amity Blues	The Ol' Amity Blues	0	2017		73.0	Drama
tt10189426	movie	Funny Young World	Funny Young World	0	2017		73.0	Drama
tt10192670	movie	DCI 2017 Tour Premeire	DCI 2017 Tour Premeire	0	2017			Documentary
tt10195216	movie	Papa, Come Home	Papa, Come Home	0	2017		109.0	Drama
tt10199794	movie	All Sounds Considered (ASC)	All Sounds Considered (ASC)	0	2017			Documentary
tt10202644	movie	Corazones en Llamas 3	Corazones en Llamas 3	0	2017			Action
tt10203032	movie	Grilled	Grilled	0	2017			Action
tt10213512	movie	Songez au Solide	Songez au Solide	0	2017			Mystery
tt10215082	movie	Bindokuzyüzdoksandört	Bindokuzyüzdoksandört	0	2017		55.0	Documentary
tt10215836	movie	The Perfect Mistress III.	The Perfect Mistress III.	0	2017			Adventure,Drama,Romance
tt10218800	movie	Tu Mera Chaand	Tu Mera Chaand	0	2017		72.0	Comedy
tt10218858	movie	Huway Hum Jin Kay Liye Barbaad	Huway Hum Jin Kay Liye Barbaad	0	2017			Comedy
tt10218948	movie	Aitebaar	Aitebaar	0	2017		80.0	Comedy
tt10218974	movie	Chalo Chalo Dubai Chalo	Chalo Chalo Dubai Chalo	0	2017		80.0	Comedy
