,Species,Weight,Length1,Length2,Length3,Height,Width,ID
0,Bream,242.0,23.2,25.4,30.0,11.52,4.02,00000
1,Bream,290.0,24.0,26.3,31.2,12.48,4.3056,00001
2,Bream,340.0,23.9,26.5,31.1,12.3778,4.6961,00002
3,Bream,363.0,26.3,29.0,33.5,12.73,4.4555,00003
4,Bream,430.0,26.5,29.0,34.0,12.444,5.1339999999999995,00004
5,Bream,450.0,26.8,29.7,34.7,13.6024,4.9274,00005
7,Bream,390.0,27.6,30.0,35.0,12.67,4.69,00007
8,Bream,450.0,27.6,30.0,35.1,14.0049,4.8438,00008
9,Bream,500.0,28.5,30.7,36.2,14.2266,4.9594,00009
10,Bream,475.0,28.4,31.0,36.2,14.2628,5.1042,00010
11,Bream,500.0,28.7,31.0,36.2,14.3714,4.8146,00011
12,Bream,500.0,29.1,31.5,36.4,13.7592,4.368,00012
13,Bream,340.0,29.5,32.0,37.3,13.9129,5.0728,00013
14,Bream,600.0,29.4,32.0,37.2,14.9544,5.1708,00014
15,Bream,600.0,29.4,32.0,37.2,15.437999999999999,5.58,00015
16,Bream,700.0,30.4,33.0,38.3,14.8604,5.2854,00016
17,Bream,700.0,30.4,33.0,38.5,14.937999999999999,5.1975,00017
18,Bream,610.0,30.9,33.5,38.6,15.633,5.1338,00018
20,Bream,575.0,31.3,34.0,39.5,15.1285,5.5695,00020
21,Bream,685.0,31.4,34.0,39.2,15.9936,5.3704,00021
25,Bream,725.0,31.8,35.0,40.9,16.36,6.0532,00025
26,Bream,720.0,32.0,35.0,40.6,16.3618,6.09,00026
27,Bream,714.0,32.7,36.0,41.5,16.517,5.8515,00027
28,Bream,850.0,32.8,36.0,41.6,16.8896,6.1984,00028
29,Bream,1000.0,33.5,37.0,42.6,18.957,6.603,00029
31,Bream,955.0,35.0,38.5,44.0,18.084,6.292000000000001,00031
32,Bream,925.0,36.2,39.5,45.3,18.7542,6.7497,00032
33,Bream,975.0,37.4,41.0,45.9,18.6354,6.7473,00033
34,Bream,950.0,38.0,41.0,46.5,17.6235,6.3705,00034
35,Roach,40.0,12.9,14.1,16.2,4.1472,2.2680000000000002,00035
37,Roach,78.0,17.5,18.8,21.2,5.5756,2.9044,00037
38,Roach,87.0,18.2,19.8,22.2,5.6166,3.1746,00038
41,Roach,110.0,19.1,20.8,23.1,6.1677,3.3957,00041
42,Roach,120.0,19.4,21.0,23.7,6.1146,3.2943,00042
44,Roach,145.0,20.5,22.0,24.3,6.6339,3.5478,00044
45,Roach,160.0,20.5,22.5,25.3,7.0334,3.8203,00045
46,Roach,140.0,21.0,22.5,25.0,6.55,3.325,00046
50,Roach,200.0,22.1,23.5,26.8,7.3968,4.1272,00050
51,Roach,180.0,23.6,25.2,27.9,7.0866,3.906,00051
52,Roach,290.0,24.0,26.0,29.2,8.8768,4.4968,00052
54,Roach,390.0,29.5,31.7,35.0,9.485,5.355,00054
55,Whitefish,270.0,23.6,26.0,28.7,8.3804,4.2476,00055
56,Whitefish,270.0,24.1,26.5,29.3,8.1454,4.2485,00056
58,Whitefish,540.0,28.5,31.0,34.0,10.744000000000002,6.562,00058
59,Whitefish,800.0,33.7,36.4,39.6,11.7612,6.5736,00059
61,Parkki,55.0,13.5,14.7,16.5,6.8475,2.3265,00061
62,Parkki,60.0,14.3,15.5,17.4,6.5772,2.3142,00062
64,Parkki,120.0,17.5,19.0,21.3,8.3922,2.9181,00064
67,Parkki,170.0,19.0,20.7,23.2,9.396,3.4104,00067
68,Parkki,145.0,19.8,21.5,24.1,9.7364,3.1571,00068
69,Parkki,200.0,21.2,23.0,25.8,10.3458,3.6636,00069
70,Parkki,273.0,23.0,25.0,28.0,11.088,4.144,00070
71,Parkki,300.0,24.0,26.0,29.0,11.368,4.234,00071
74,Perch,40.0,13.8,15.0,16.0,3.824,2.432,00074
75,Perch,51.5,15.0,16.2,17.2,4.5924,2.6316,00075
76,Perch,70.0,15.7,17.4,18.5,4.588,2.9415,00076
78,Perch,78.0,16.8,18.7,19.4,5.1992,3.1234,00078
79,Perch,80.0,17.2,19.0,20.2,5.6358,3.0502,00079
80,Perch,85.0,17.8,19.6,20.8,5.1376,3.0368,00080
81,Perch,85.0,18.2,20.0,21.0,5.082,2.772,00081
82,Perch,110.0,19.0,21.0,22.5,5.6925,3.555,00082
84,Perch,125.0,19.0,21.0,22.5,5.6925,3.6675,00084
85,Perch,130.0,19.3,21.3,22.8,6.3839999999999995,3.534,00085
86,Perch,120.0,20.0,22.0,23.5,6.11,3.4075,00086
87,Perch,120.0,20.0,22.0,23.5,5.64,3.525,00087
88,Perch,130.0,20.0,22.0,23.5,6.11,3.525,00088
89,Perch,135.0,20.0,22.0,23.5,5.875,3.525,00089
91,Perch,130.0,20.5,22.5,24.0,5.856,3.6239999999999997,00091
92,Perch,150.0,20.5,22.5,24.0,6.792000000000001,3.6239999999999997,00092
93,Perch,145.0,20.7,22.7,24.2,5.9532,3.63,00093
94,Perch,150.0,21.0,23.0,24.5,5.2185,3.6260000000000003,00094
96,Perch,225.0,22.0,24.0,25.5,7.292999999999999,3.7230000000000003,00096
97,Perch,145.0,22.0,24.0,25.5,6.375,3.825,00097
100,Perch,197.0,23.5,25.6,27.0,6.561,4.239,00100
101,Perch,218.0,25.0,26.5,28.0,7.167999999999999,4.144,00101
102,Perch,300.0,25.2,27.3,28.7,8.323,5.1373,00102
103,Perch,260.0,25.4,27.5,28.9,7.1672,4.335,00103
104,Perch,265.0,25.4,27.5,28.9,7.0516,4.335,00104
106,Perch,250.0,25.9,28.0,29.4,7.8204,4.2042,00106
109,Perch,514.0,30.5,32.8,34.0,10.03,6.018,00109
110,Perch,556.0,32.0,34.5,36.5,10.2565,6.3875,00110
111,Perch,840.0,32.5,35.0,37.3,11.4884,7.7957,00111
112,Perch,685.0,34.0,36.5,39.0,10.880999999999998,6.864,00112
113,Perch,700.0,34.0,36.0,38.3,10.6091,6.7408,00113
115,Perch,690.0,34.6,37.0,39.3,10.5717,6.3666,00115
116,Perch,900.0,36.5,39.0,41.4,11.1366,7.4934,00116
117,Perch,650.0,36.5,39.0,41.4,11.1366,6.002999999999999,00117
118,Perch,820.0,36.6,39.0,41.3,12.4313,7.3514,00118
119,Perch,850.0,36.9,40.0,42.3,11.9286,7.1064,00119
120,Perch,900.0,37.0,40.0,42.5,11.73,7.225,00120
121,Perch,1015.0,37.0,40.0,42.4,12.3808,7.4624,00121
122,Perch,820.0,37.1,40.0,42.5,11.135,6.63,00122
123,Perch,1100.0,39.0,42.0,44.6,12.8002,6.8684,00123
124,Perch,1000.0,39.8,43.0,45.2,11.9328,7.2772,00124
125,Perch,1100.0,40.1,43.0,45.5,12.5125,7.4165,00125
128,Pike,200.0,30.0,32.3,34.8,5.568,3.3756,00128
129,Pike,300.0,31.7,34.0,37.8,5.7078,4.158,00129
130,Pike,300.0,32.7,35.0,38.8,5.9364,4.3844,00130
131,Pike,300.0,34.8,37.3,39.8,6.2884,4.0198,00131
132,Pike,430.0,35.5,38.0,40.5,7.29,4.5765,00132
133,Pike,345.0,36.0,38.5,41.0,6.396,3.977,00133
134,Pike,456.0,40.0,42.5,45.5,7.28,4.3225,00134
135,Pike,510.0,40.0,42.5,45.5,6.825,4.459,00135
136,Pike,540.0,40.1,43.0,45.8,7.7860000000000005,5.1296,00136
137,Pike,500.0,42.0,45.0,48.0,6.96,4.896,00137
138,Pike,567.0,43.2,46.0,48.7,7.792000000000001,4.87,00138
139,Pike,770.0,44.8,48.0,51.2,7.68,5.376,00139
141,Pike,1250.0,52.0,56.0,59.7,10.6863,6.9849,00141
142,Pike,1600.0,56.0,60.0,64.0,9.6,6.144,00142
143,Pike,1550.0,56.0,60.0,64.0,9.6,6.144,00143
145,Smelt,6.7,9.3,9.8,10.8,1.7388,1.0476,00145
146,Smelt,7.5,10.0,10.5,11.6,1.972,1.16,00146
147,Smelt,7.0,10.1,10.6,11.6,1.7284,1.1484,00147
148,Smelt,9.7,10.4,11.0,12.0,2.1959999999999997,1.38,00148
149,Smelt,9.8,10.7,11.2,12.4,2.0832,1.2772,00149
150,Smelt,8.7,10.8,11.3,12.6,1.9782,1.2852,00150
151,Smelt,10.0,11.3,11.8,13.1,2.2139,1.2838,00151
152,Smelt,9.9,11.3,11.8,13.1,2.2139,1.1659,00152
153,Smelt,9.8,11.4,12.0,13.2,2.2044,1.1484,00153
154,Smelt,12.2,11.5,12.2,13.4,2.0904,1.3936,00154
155,Smelt,13.4,11.7,12.4,13.5,2.43,1.2690000000000001,00155
156,Smelt,12.2,12.1,13.0,13.8,2.2769999999999997,1.2558,00156
158,Smelt,19.9,13.8,15.0,16.2,2.9322,1.8792,00158
