id,name,height,weight,color,shape,is baby,type 1,type 2,hp,attack,defense,speed
1,bulbasaur,0.7,6.9,green,quadruped,False,Grass,Poison,45,49,49,45
2,ivysaur,1.0,13.0,green,quadruped,False,Grass,Poison,60,62,63,60
3,venusaur,2.0,100.0,green,quadruped,False,Grass,Poison,80,82,83,80
4,charmander,0.6,8.5,red,upright,False,Fire,,39,52,43,65
5,charmeleon,1.1,19.0,red,upright,False,Fire,,58,64,58,80
6,charizard,1.7,90.5,red,upright,False,Fire,Flying,78,84,78,100
7,squirtle,0.5,9.0,blue,upright,False,Water,,44,48,65,43
8,wartortle,1.0,22.5,blue,upright,False,Water,,59,63,80,58
9,blastoise,1.6,85.5,blue,upright,False,Water,,79,83,100,78
10,caterpie,0.3,2.9,green,armor,False,Bug,,45,30,35,45
11,metapod,0.7,9.9,green,squiggle,False,Bug,,50,20,55,30
12,butterfree,1.1,32.0,white,bug-wings,False,Bug,Flying,60,45,50,70
13,weedle,0.3,3.2,brown,armor,False,Bug,Poison,40,35,30,50
14,kakuna,0.6,10.0,yellow,squiggle,False,Bug,Poison,45,25,50,35
15,beedrill,1.0,29.5,yellow,bug-wings,False,Bug,Poison,65,90,40,75
16,pidgey,0.3,1.8,brown,wings,False,Normal,Flying,40,45,40,56
17,pidgeotto,1.1,30.0,brown,wings,False,Normal,Flying,63,60,55,71
18,pidgeot,1.5,39.5,brown,wings,False,Normal,Flying,83,80,75,101
19,rattata,0.3,3.5,purple,quadruped,False,Normal,,30,56,35,72
20,raticate,0.7,18.5,brown,quadruped,False,Normal,,55,81,60,97
21,spearow,0.3,2.0,brown,wings,False,Normal,Flying,40,60,30,70
22,fearow,1.2,38.0,brown,wings,False,Normal,Flying,65,90,65,100
23,ekans,2.0,6.9,purple,squiggle,False,Poison,,35,60,44,55
24,arbok,3.5,65.0,purple,squiggle,False,Poison,,60,95,69,80
25,pikachu,0.4,6.0,yellow,quadruped,False,Electric,,35,55,40,90
26,raichu,0.8,30.0,yellow,upright,False,Electric,,60,90,55,110
27,sandshrew,0.6,12.0,yellow,upright,False,Ground,,50,75,85,40
28,sandslash,1.0,29.5,yellow,upright,False,Ground,,75,100,110,65
29,nidoran-f,0.4,7.0,blue,quadruped,False,Poison,,55,47,52,41
30,nidorina,0.8,20.0,blue,quadruped,False,Poison,,70,62,67,56
31,nidoqueen,1.3,60.0,blue,upright,False,Poison,Ground,90,92,87,76
32,nidoran-m,0.5,9.0,purple,quadruped,False,Poison,,46,57,40,50
33,nidorino,0.9,19.5,purple,quadruped,False,Poison,,61,72,57,65
34,nidoking,1.4,62.0,purple,upright,False,Poison,Ground,81,102,77,85
35,clefairy,0.6,7.5,pink,upright,False,Fairy,,70,45,48,35
36,clefable,1.3,40.0,pink,upright,False,Fairy,,95,70,73,60
37,vulpix,0.6,9.9,brown,quadruped,False,Fire,,38,41,40,65
38,ninetales,1.1,19.9,yellow,quadruped,False,Fire,,73,76,75,100
39,jigglypuff,0.5,5.5,pink,humanoid,False,Normal,Fairy,115,45,20,20
40,wigglytuff,1.0,12.0,pink,humanoid,False,Normal,Fairy,140,70,45,45
41,zubat,0.8,7.5,purple,wings,False,Poison,Flying,40,45,35,55
42,golbat,1.6,55.0,purple,wings,False,Poison,Flying,75,80,70,90
43,oddish,0.5,5.4,blue,legs,False,Grass,Poison,45,50,55,30
44,gloom,0.8,8.6,blue,humanoid,False,Grass,Poison,60,65,70,40
45,vileplume,1.2,18.6,red,humanoid,False,Grass,Poison,75,80,85,50
46,paras,0.3,5.4,red,armor,False,Bug,Grass,35,70,55,25
47,parasect,1.0,29.5,red,armor,False,Bug,Grass,60,95,80,30
48,venonat,1.0,30.0,purple,humanoid,False,Bug,Poison,60,55,50,45
49,venomoth,1.5,12.5,purple,bug-wings,False,Bug,Poison,70,65,60,90
50,diglett,0.2,0.8,brown,blob,False,Ground,,10,55,25,95
51,dugtrio,0.7,33.3,brown,heads,False,Ground,,35,100,50,120
52,meowth,0.4,4.2,yellow,quadruped,False,Normal,,40,45,35,90
53,persian,1.0,32.0,yellow,quadruped,False,Normal,,65,70,60,115
54,psyduck,0.8,19.6,yellow,upright,False,Water,,50,52,48,55
55,golduck,1.7,76.6,blue,upright,False,Water,,80,82,78,85
56,mankey,0.5,28.0,brown,upright,False,Fighting,,40,80,35,70
57,primeape,1.0,32.0,brown,upright,False,Fighting,,65,105,60,95
58,growlithe,0.7,19.0,brown,quadruped,False,Fire,,55,70,45,60
59,arcanine,1.9,155.0,brown,quadruped,False,Fire,,90,110,80,95
60,poliwag,0.6,12.4,blue,legs,False,Water,,40,50,40,90
61,poliwhirl,1.0,20.0,blue,humanoid,False,Water,,65,65,65,90
62,poliwrath,1.3,54.0,blue,humanoid,False,Water,Fighting,90,95,95,70
63,abra,0.9,19.5,brown,upright,False,Psychic,,25,20,15,90
64,kadabra,1.3,56.5,brown,upright,False,Psychic,,40,35,30,105
65,alakazam,1.5,48.0,brown,humanoid,False,Psychic,,55,50,45,120
66,machop,0.8,19.5,gray,upright,False,Fighting,,70,80,50,35
67,machoke,1.5,70.5,gray,humanoid,False,Fighting,,80,100,70,45
68,machamp,1.6,130.0,gray,humanoid,False,Fighting,,90,130,80,55
69,bellsprout,0.7,4.0,green,humanoid,False,Grass,Poison,50,75,35,40
70,weepinbell,1.0,6.4,green,blob,False,Grass,Poison,65,90,50,55
71,victreebel,1.7,15.5,green,blob,False,Grass,Poison,80,105,65,70
72,tentacool,0.9,45.5,blue,tentacles,False,Water,Poison,40,40,35,70
73,tentacruel,1.6,55.0,blue,tentacles,False,Water,Poison,80,70,65,100
74,geodude,0.4,20.0,brown,arms,False,Rock,Ground,40,80,100,20
75,graveler,1.0,105.0,brown,humanoid,False,Rock,Ground,55,95,115,35
76,golem,1.4,300.0,brown,humanoid,False,Rock,Ground,80,120,130,45
77,ponyta,1.0,30.0,yellow,quadruped,False,Fire,,50,85,55,90
78,rapidash,1.7,95.0,yellow,quadruped,False,Fire,,65,100,70,105
79,slowpoke,1.2,36.0,pink,quadruped,False,Water,Psychic,90,65,65,15
80,slowbro,1.6,78.5,pink,upright,False,Water,Psychic,95,75,110,30
81,magnemite,0.3,6.0,gray,arms,False,Electric,Steel,25,35,70,45
82,magneton,1.0,60.0,gray,heads,False,Electric,Steel,50,60,95,70
83,farfetchd,0.8,15.0,brown,wings,False,Normal,Flying,52,90,55,60
