id,age,healthy_eating,active_lifestyle,salary,months_of_exp,sex
0,36,5,5,2297,281.0,female
1,55,3,5,1134,15.0,female
2,61,8,1,4969,359.0,female
3,29,3,6,902,30.0,female
4,34,6,2,3574,225.0,female
5,42,5,3,2761,176.0,female
6,53,4,6,1484,48.0,female
7,41,8,6,3809,323.0,female
8,47,5,6,2065,235.0,female
9,31,4,8,1020,24.0,male
10,47,6,9,1950,136.0,male
11,40,7,1,4387,334.0,female
12,41,3,2,1830,98.0,female
13,46,6,8,2182,108.0,female
14,51,7,5,3460,346.0,male
15,57,3,8,662,60.0,male
16,33,3,5,1134,189.0,female
17,41,4,8,1020,19.0,female
18,46,2,6,779,6.0,female
19,32,7,6,3228,164.0,female
20,57,7,6,3228,340.0,female
21,26,1,6,1360,66.0,male
22,59,7,5,3460,255.0,male
23,55,6,4,3110,245.0,male
24,51,5,8,1601,178.0,female
25,63,6,7,2414,151.0,female
26,62,9,6,4390,359.0,male
27,37,3,5,1134,81.0,male
28,63,6,7,2414,259.0,male
29,20,8,6,3809,353.0,female
30,63,4,7,1252,86.0,female
31,54,7,8,2764,221.0,female
32,58,3,8,662,4.0,male
33,18,4,6,1484,156.0,male
34,29,5,7,1833,85.0,male
35,61,2,4,785,45.0,female
36,51,5,5,2297,250.0,male
37,22,3,5,1134,58.0,female
38,36,3,7,670,5.0,male
39,62,2,6,779,140.0,female
40,54,6,8,2182,257.0,female
41,55,5,3,2761,312.0,female
42,55,6,7,2414,180.0,male
43,42,4,10,556,74.0,male
44,41,6,6,2646,250.0,male
45,43,5,8,1601,53.0,male
46,24,4,3,2179,238.0,male
47,44,4,6,1484,123.0,male
48,42,5,6,2065,83.0,male
49,54,6,9,1950,213.0,male
50,34,3,6,902,8.0,male
51,32,5,8,1601,222.0,male
52,28,7,2,4155,292.0,female
53,18,2,4,785,128.0,female
54,64,3,7,670,101.0,male
55,44,6,5,2878,303.0,female
56,56,5,5,2297,156.0,male
57,54,6,1,3806,261.0,male
58,23,9,6,4390,284.0,male
59,42,8,3,4505,358.0,male
60,64,7,10,2300,220.0,male
61,57,3,5,1134,125.0,female
62,20,5,5,2297,183.0,female
63,37,5,3,2761,178.0,female
64,45,7,4,3691,269.0,female
65,45,6,6,2646,279.0,female
66,27,3,4,1366,203.0,male
67,43,6,3,3342,235.0,female
68,20,5,7,1833,167.0,male
69,28,8,5,4041,236.0,male
70,60,3,2,1830,68.0,female
71,34,4,4,1948,82.0,male
72,21,5,1,3225,288.0,male
73,50,5,7,1833,71.0,female
74,31,6,7,2414,291.0,female
75,26,8,6,3809,351.0,male
76,59,4,5,1716,66.0,female
77,21,7,7,2996,258.0,female
78,61,6,8,2182,218.0,female
79,47,6,8,2182,151.0,female
80,30,3,2,1830,141.0,male
81,19,5,2,2993,247.0,female
82,56,6,6,2646,117.0,male
83,49,9,6,4390,339.0,female
84,39,3,4,1366,154.0,male
85,64,7,6,3228,169.0,male
86,53,6,5,2878,133.0,female
87,28,6,6,2646,226.0,female
88,62,5,7,1833,65.0,male
89,57,3,7,670,107.0,male
90,55,1,9,2056,223.0,male
91,25,4,6,1484,34.0,male
92,31,8,1,4969,353.0,male
93,34,7,6,3228,230.0,male
94,47,5,8,1601,56.0,female
95,40,3,3,1598,48.0,female
96,32,8,1,4969,358.0,male
97,32,6,6,2646,117.0,male
98,56,6,8,2182,204.0,female
99,19,4,6,1484,136.0,female
100,45,4,6,1484,174.0,male
101,60,5,7,1833,207.0,male
102,37,4,6,1484,29.0,male
103,36,3,8,662,4.0,female
104,59,6,7,2414,175.0,female
105,48,9,5,4622,282.0,female
106,56,6,5,2878,319.0,female
107,52,6,9,1950,202.0,male
108,25,6,5,2878,205.0,male
109,51,3,5,1134,117.0,female
110,30,4,7,1252,194.0,male
111,46,5,5,2297,106.0,female
112,45,6,8,2182,94.0,male
113,44,3,3,1598,58.0,female
114,49,7,6,3228,325.0,male
115,50,2,7,1011,102.0,female
116,26,5,3,2761,279.0,female
117,30,3,6,902,75.0,female
118,21,4,8,1020,88.0,female
119,48,8,9,3113,212.0,male
120,37,6,5,2878,183.0,female
121,28,7,6,3228,289.0,male
122,29,5,1,3225,340.0,female
123,28,5,4,2529,261.0,male
124,64,3,9,894,80.0,male
125,44,4,8,1020,179.0,male
126,63,3,7,670,66.0,female
127,37,9,7,4158,357.0,female
128,18,3,3,1598,229.0,male
129,60,6,5,2878,169.0,male
130,22,6,8,2182,261.0,female
131,62,6,7,2414,197.0,female
132,58,1,5,1128,155.0,male
133,41,0,8,2406,180.0,female
134,19,6,5,2878,261.0,male
135,21,2,3,1017,11.0,female
136,43,5,4,2529,242.0,female
137,53,4,10,556,140.0,female
138,43,2,9,1475,115.0,female
139,32,6,8,2182,274.0,male
140,43,4,2,2411,291.0,female
141,26,7,7,2996,229.0,male
142,38,6,5,2878,284.0,male
143,62,1,2,667,57.0,female
144,33,4,5,1716,44.0,male
145,29,6,4,3110,296.0,male
146,46,7,4,3691,194.0,male
147,39,6,3,3342,210.0,male
148,44,5,6,2065,223.0,male
149,41,6,6,2646,194.0,male
150,49,5,4,2529,146.0,female
151,58,1,6,1360,205.0,female
152,55,7,3,3923,296.0,male
153,54,6,5,2878,223.0,male
154,51,4,7,1252,150.0,female
155,34,6,9,1950,189.0,female
156,19,5,6,2065,193.0,female
157,51,7,5,3460,195.0,female
158,44,6,9,1950,84.0,female
159,30,7,6,3228,159.0,male
160,32,4,5,1716,145.0,female
161,52,2,6,779,6.0,female
162,33,7,6,3228,340.0,female
163,25,7,6,3228,162.0,female
164,36,3,9,894,11.0,male
165,27,7,3,3923,215.0,male
166,59,6,8,2182,101.0,male
167,38,3,8,662,18.0,male
168,54,8,5,4041,322.0,male
169,58,5,5,2297,250.0,female
170,63,5,2,2993,271.0,female
171,50,3,6,902,172.0,male
172,32,2,6,779,6.0,female
173,58,9,5,4622,358.0,male
174,21,3,6,902,57.0,female
175,39,3,6,902,85.0,male
176,21,6,6,2646,148.0,female
177,31,2,9,1475,178.0,female
178,44,3,6,902,175.0,female
179,49,7,9,2532,173.0,female
180,35,3,6,902,175.0,female
181,30,7,8,2764,178.0,female
182,49,8,5,4041,270.0,female
183,61,4,7,1252,40.0,male
184,31,5,6,2065,144.0,male
185,38,8,5,4041,281.0,female
186,22,5,5,2297,225.0,male
187,23,3,8,662,4.0,female
188,48,8,6,3809,355.0,male
189,34,4,6,1484,104.0,male
190,33,6,8,2182,80.0,male
191,43,7,5,3460,344.0,male
192,43,3,6,902,72.0,female
193,36,4,5,1716,137.0,male
194,34,4,5,1716,71.0,female
195,56,5,7,1833,213.0,male
196,18,3,4,1366,24.0,male
197,51,8,6,3809,355.0,female
198,34,3,6,902,123.0,male
199,50,4,3,2179,250.0,male
200,18,4,5,1716,133.0,male
201,44,7,8,2764,191.0,male
202,46,5,3,2761,314.0,female
203,35,10,8,4508,358.0,male
204,55,7,8,2764,222.0,male
205,31,3,6,902,13.0,female
