tconst	averageRating	numVotes
tt0069049	6.9	5016
tt0069204	6.1	13
tt0100275	6.6	121
tt0112502	4.2	33
tt0137204	8.6	264
tt0170651	7.5	6
tt0192528	3.8	76
tt0253093	6.6	8
tt0262759	7.0	6
tt0276568	7.4	5
tt0315642	7.1	15911
tt0326716	6.1	299
tt0328810	7.9	62
tt0331314	5.0	319
tt0337981	6.7	63
tt0339736	5.5	2577
tt0347307	7.3	129
tt0360556	4.9	15321
tt0364201	6.4	16
tt0365545	6.4	6732
tt0376479	6.1	13546
tt0427543	6.5	292
tt0432010	7.1	48
tt0443533	6.3	1086
tt0451201	6.3	383
tt0451279	7.4	507174
tt0460890	6.3	9426
tt0470936	4.0	62
tt0475290	6.3	114278
tt0490215	7.1	88843
tt0491175	5.7	34005
tt0491203	6.2	16192
tt0493076	5.4	2304
tt0493405	6.0	38693
tt0498381	4.5	35234
tt0775440	4.3	22965
tt0803096	6.8	230205
tt0821486	5.7	20
tt0825283	3.6	3986
tt0825334	8.8	53
tt0835802	5.4	1016
tt0837156	6.1	6567
tt0838194	7.7	14
tt0844699	9.0	5
tt0848554	3.7	770
tt0850247	5.6	13
tt0859635	6.1	21489
tt0862930	6.9	339
tt0874268	7.4	43
tt0906327	7.1	15
tt0918520	7.5	11
tt0918940	6.2	153870
tt0926132	6.7	371
tt0932667	5.2	122
tt0937225	5.5	28
tt0972544	7.0	3542
tt0974015	6.4	345777
tt0995868	7.2	14563
tt10005184	8.1	17
tt10006056	6.7	11
tt10006274	8.0	6
tt10009602	7.3	10
tt10021622	8.4	7
tt10021804	6.3	10
tt10022158	7.7	84
tt10022870	9.5	6
tt1002563	5.6	2938
tt10026686	7.7	41
tt10034168	6.8	9
tt10034236	7.9	17
tt10043732	6.7	6
tt10045014	4.6	10
tt10045260	7.4	120
tt10049238	7.5	10
tt10059624	6.0	28
tt10062150	8.4	68
tt10062286	5.7	19
tt10075070	5.9	20
tt10078502	9.3	20
tt10079698	4.3	27
tt10084752	6.1	15
tt10097954	6.4	5
tt10106822	6.3	12
tt10112464	5.1	19
tt10125986	4.9	16
tt10127228	4.0	5
tt10127628	6.6	37
tt10128580	7.7	9
tt10131904	4.8	26
tt10140138	3.7	36
tt10140532	5.9	9
tt10140592	7.2	5
tt10153626	6.0	6
tt10153730	5.4	5
tt10160700	8.1	8
tt10163050	6.8	5
tt10169754	6.9	13
tt10170038	6.7	17
tt10174382	7.7	16
tt10174464	7.1	11
tt10174546	7.0	11
tt10176328	8.5	6
tt10177960	9.3	7
tt10178280	5.4	5
tt10178972	5.3	6
tt10182822	6.7	1685
tt10192640	8.8	6
tt10197354	8.8	113
tt10203480	5.2	6
tt10204300	5.4	13
tt10207850	5.1	133
tt10217930	8.0	6
tt10230042	5.7	6
tt1024855	5.1	791
tt10269890	8.2	13
tt10274598	4.6	5
tt10276578	6.7	21
tt10281564	5.9	10
tt10292116	6.7	21
tt10304022	7.3	6
tt10313694	7.8	9
tt10322172	4.1	11
tt10322734	2.4	7
tt10327974	8.8	5
tt10340820	6.9	9
tt1034385	6.0	9867
tt1034415	6.8	46635
tt10353736	7.4	20
tt10356932	6.6	9
tt10360970	8.8	5
tt10365008	3.9	7
tt10368582	8.6	43
tt10376478	5.5	8
tt10378660	9.4	30
tt10385482	4.7	16
tt10392636	3.5	15
tt10392644	1.7	14
tt10399736	4.3	9
tt10408656	6.9	12
tt10411954	5.8	103
tt10414852	6.6	12
tt10428316	7.4	7
tt10443322	7.8	5
tt10443764	5.5	12
tt10443766	6.9	14
tt10452996	5.6	14
tt10462646	4.7	7
tt10467292	4.9	13
tt10467354	6.8	6
tt10467460	5.9	34
tt10468098	6.5	17
tt10474432	7.7	13
tt10488892	3.5	32
tt10497352	3.7	25
tt10499474	5.8	15
tt10499518	4.3	9
tt10505100	4.7	31
tt10509642	8.3	7
tt10510988	8.1	7
tt1051229	7.1	12
tt10515340	6.1	515
