title,User1,User7,User13,User43,User44,User59,User62,User64,User92,User94,User109,User130,User144,User145,User151,User178,User194,User198,User200,User201,User222,User234,User268,User271,User276,User280,User293,User297,User301,User303,User305,User308,User311,User313,User327,User328,User334,User344,User345,User347,User363,User374,User378,User387,User393,User399,User406,User407,User416,User417,User425,User429,User435,User450,User455,User457,User472,User474,User479,User484,User487,User493,User497,User500,User514,User521,User533,User537,User551,User561,User592,User606,User618,User648,User650,User653,User654,User655,User666,User682,User727,User738,User747,User749,User758,User790,User796,User804,User805,User854,User864,User880,User881,User883,User889,User892,User896,User913,User916,User919
Air Force One (1997),,4.0,1.0,5.0,,,,3.0,,,,5.0,3.0,3.0,4.0,5.0,,2.0,,,5.0,3.0,,2.0,4.0,,2.0,3.0,4.0,1.0,3.0,,4.0,4.0,2.0,5.0,3.0,,3.0,5.0,,,4.0,,,,,,4.0,,2.0,3.0,2.0,4.0,4.0,,,,2.0,4.0,5.0,4.0,3.0,4.0,,3.0,4.0,1.0,4.0,,,,,,,4.0,5.0,3.0,3.0,2.0,,,,4.0,2.0,,4.0,,,,,3.0,,,3.0,4.0,2.0,,,4.0
Alien (1979),5.0,4.0,4.0,,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,,3.0,4.0,4.0,4.0,4.0,,,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,,4.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,,4.0,,4.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0
Aliens (1986),5.0,3.0,3.0,,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,4.0,,4.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,3.0,4.0,4.0,4.0,3.0,,3.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,,4.0,4.0,1.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,,5.0,5.0,5.0,4.0,
Back to the Future (1985),5.0,5.0,5.0,4.0,4.0,5.0,3.0,,4.0,4.0,4.0,5.0,2.0,,4.0,4.0,4.0,3.0,5.0,4.0,5.0,2.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,5.0,,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,,5.0,4.0,2.0,,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
"Birdcage, The (1996)",4.0,3.0,1.0,5.0,2.0,4.0,,,3.0,3.0,4.0,,,2.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,,3.0,4.0,3.0,4.0,,4.0,,2.0,2.0,,,4.0,3.0,2.0,3.0,5.0,4.0,2.0,2.0,,1.0,3.0,4.0,2.0,,4.0,5.0,3.0,3.0,4.0,,5.0,,3.0,1.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,1.0,2.0,,5.0,2.0,2.0,3.0,,1.0,3.0,3.0,4.0,3.0,,3.0,4.0,4.0,2.0,,4.0,4.0,3.0,4.0,4.0,3.0,,,4.0,3.0,3.0,,4.0
Braveheart (1995),4.0,5.0,4.0,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,,5.0,5.0,,4.0,2.0,5.0,4.0,,5.0,5.0,5.0,3.0,4.0,4.0,5.0,,4.0,4.0,3.0,4.0,5.0,4.0,3.0,,5.0,3.0,,5.0,5.0,4.0,3.0,3.0,,5.0,,3.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,,4.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,2.0,,5.0,4.0,3.0,3.0,5.0,,5.0,4.0,5.0,1.0,2.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0
Chasing Amy (1997),5.0,3.0,4.0,,,,,,4.0,4.0,,4.0,,4.0,,4.0,,,,4.0,4.0,2.0,5.0,,4.0,,,4.0,,5.0,3.0,,,,4.0,,4.0,3.5,4.0,4.0,,,,3.0,,3.0,,,4.0,4.0,,,5.0,,,,,,,,,,4.0,5.0,4.0,4.5,,4.0,4.0,3.0,5.0,,,,,,1.0,3.0,,5.0,4.0,,5.0,,,4.0,,,,3.0,,5.0,,,4.0,,,2.0,5.0,3.0
Conspiracy Theory (1997),,,3.0,4.0,4.0,,3.0,,3.0,3.0,,4.0,3.0,5.0,3.0,3.0,,,,,5.0,2.0,1.0,2.0,4.0,,2.0,,,3.0,,,,4.0,2.0,4.0,3.0,,,4.0,3.0,,3.0,,5.0,4.0,,,5.0,,,,,4.0,,,,,4.0,,,4.0,,3.0,3.0,,4.0,2.0,5.0,,1.0,,,,,4.0,,2.0,,3.0,4.0,,,4.0,1.0,3.0,5.0,4.0,,1.0,5.0,4.0,,,,,1.0,,,2.0
Contact (1997),5.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,,4.0,4.0,2.0,5.0,2.0,2.0,3.0,5.0,,3.0,5.0,4.0,4.0,4.0,,4.0,3.0,1.0,5.0,4.0,3.0,4.0,4.0,3.0,,4.0,4.0,4.0,,,4.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,,,3.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,,3.0,4.0,5.0,4.0,,,4.0,,5.0,4.0,,4.0
Dead Man Walking (1995),5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,,5.0,2.0,4.0,2.0,4.0,,4.0,3.0,5.0,3.0,,4.0,5.0,5.0,,,3.0,5.0,,4.0,4.0,,5.0,4.0,4.0,5.0,4.0,,3.0,1.0,5.0,,4.0,3.0,5.0,,5.0,,,,4.0,,4.0,5.0,,5.0,,1.0,,,,4.0,,,4.0,,5.0,4.0,5.0,,3.0,1.0,,,,3.0,,3.0,,,5.0,3.0,,,3.0,,3.0,5.0,5.0,,3.0,4.0,4.0,,4.0,5.0,5.0,5.0
